end_station_id,month,end_station_name,end_lat,end_lng,ride_count
2923.01,9,62 St & 4 Ave,40.639859,-74.019776,200
2923.01,11,62 St & 4 Ave,40.639859,-74.019776,100
2923.01,12,62 St & 4 Ave,40.639859,-74.019776,100
2932.03,1,Wakeman Pl & Ridge Blvd,40.639421,-74.026823,300
2932.03,2,Wakeman Pl & Ridge Blvd,40.639421,-74.026823,400
2932.03,4,Wakeman Pl & Ridge Blvd,40.639421,-74.026823,700
2932.03,5,Wakeman Pl & Ridge Blvd,40.639421,-74.026823,600
2932.03,6,Wakeman Pl & Ridge Blvd,40.639421,-74.026823,300
2932.03,7,Wakeman Pl & Ridge Blvd,40.639421,-74.026823,400
2932.03,8,Wakeman Pl & Ridge Blvd,40.639421,-74.026823,400
2932.03,9,Wakeman Pl & Ridge Blvd,40.639421,-74.026823,200
2932.03,10,Wakeman Pl & Ridge Blvd,40.639421,-74.026823,200
2932.03,11,Wakeman Pl & Ridge Blvd,40.639421,-74.026823,100
2932.03,12,Wakeman Pl & Ridge Blvd,40.639421,-74.026823,200
2951.05,1,55 St & 7 Ave,40.639673,-74.008957,200
2951.05,3,55 St & 7 Ave,40.639673,-74.008957,200
2951.05,5,55 St & 7 Ave,40.639673,-74.008957,300
2951.05,6,55 St & 7 Ave,40.639673,-74.008957,300
2951.05,7,55 St & 7 Ave,40.639673,-74.008957,400
2951.05,8,55 St & 7 Ave,40.639673,-74.008957,200
2951.05,9,55 St & 7 Ave,40.639673,-74.008957,500
2951.05,10,55 St & 7 Ave,40.639673,-74.008957,200
2951.05,11,55 St & 7 Ave,40.639673,-74.008957,100
2951.05,12,55 St & 7 Ave,40.639673,-74.008957,100
2961.05,1,59 St & 5 Ave,40.640125,-74.015726,200
2961.05,2,59 St & 5 Ave,40.640125,-74.015726,100
2961.05,3,59 St & 5 Ave,40.640125,-74.015726,400
2961.05,4,59 St & 5 Ave,40.640125,-74.015726,100
2961.05,5,59 St & 5 Ave,40.640125,-74.015726,400
2961.05,6,59 St & 5 Ave,40.640125,-74.015726,200
2961.05,7,59 St & 5 Ave,40.640125,-74.015726,700
2961.05,8,59 St & 5 Ave,40.640125,-74.015726,100
2961.05,9,59 St & 5 Ave,40.640125,-74.015726,500
2961.05,10,59 St & 5 Ave,40.640125,-74.015726,400
2961.05,12,59 St & 5 Ave,40.640125,-74.015726,100
2971.02,2,64 St & 3 Ave,40.639978,-74.02324,100
2971.02,4,64 St & 3 Ave,40.639978,-74.02324,100
2971.02,6,64 St & 3 Ave,40.639978,-74.02324,100
2971.02,12,64 St & 3 Ave,40.639978,-74.02324,200
2984.04,7,Cortelyou Rd & Argyle Rd,40.64034,-73.96603,100
2984.04,8,Cortelyou Rd & Argyle Rd,40.64034,-73.96603,1000
2984.04,9,Cortelyou Rd & Argyle Rd,40.64034,-73.96603,400
2984.04,10,Cortelyou Rd & Argyle Rd,40.64034,-73.96603,500
2984.04,11,Cortelyou Rd & Argyle Rd,40.64034,-73.96603,400
2984.04,12,Cortelyou Rd & Argyle Rd,40.64034,-73.96603,700
3000.08,3,6 Ave & 55 St,40.640831,-74.010996,400
3000.08,4,6 Ave & 55 St,40.640831,-74.010996,200
3000.08,5,6 Ave & 55 St,40.640831,-74.010996,100
3000.08,6,6 Ave & 55 St,40.640831,-74.010996,200
3000.08,7,6 Ave & 55 St,40.640831,-74.010996,300
3000.08,8,6 Ave & 55 St,40.640831,-74.010996,300
3000.08,10,6 Ave & 55 St,40.640831,-74.010996,100
3000.08,11,6 Ave & 55 St,40.640831,-74.010996,100
3000.08,12,6 Ave & 55 St,40.640831,-74.010996,100
3007.05,2,Church Ave & Story St,40.642031,-73.981073,200
3007.05,3,Church Ave & Story St,40.642031,-73.981073,300
3007.05,4,Church Ave & Story St,40.642031,-73.981073,200
3007.05,5,Church Ave & Story St,40.642031,-73.981073,500
3007.05,6,Church Ave & Story St,40.642031,-73.981073,300
3007.05,7,Church Ave & Story St,40.642031,-73.981073,200
3007.05,8,Church Ave & Story St,40.642031,-73.981073,100
3007.05,9,Church Ave & Story St,40.642031,-73.981073,100
3007.05,10,Church Ave & Story St,40.642031,-73.981073,300
3007.05,11,Church Ave & Story St,40.642031,-73.981073,200
3007.05,12,Church Ave & Story St,40.642031,-73.981073,100
3011.03,1,59 St & 4 Ave,40.641269,-74.017651,300
3011.03,2,59 St & 4 Ave,40.641269,-74.017651,300
3011.03,3,59 St & 4 Ave,40.641269,-74.017651,100
3011.03,4,59 St & 4 Ave,40.641269,-74.017651,600
3011.03,5,59 St & 4 Ave,40.641269,-74.017651,600
3011.03,6,59 St & 4 Ave,40.641269,-74.017651,400
3011.03,7,59 St & 4 Ave,40.641269,-74.017651,600
3011.03,8,59 St & 4 Ave,40.641269,-74.017651,800
3011.03,9,59 St & 4 Ave,40.641269,-74.017651,600
3011.03,10,59 St & 4 Ave,40.641269,-74.017651,500
3011.03,11,59 St & 4 Ave,40.641269,-74.017651,200
3011.03,12,59 St & 4 Ave,40.641269,-74.017651,500
3019.02,9,65 St & 2 Ave,40.640493,-74.02564,100
3019.02,11,65 St & 2 Ave,40.640493,-74.02564,200
3019.03,3,Keegan Rd & 2 Ave,40.64243139706092,-74.0255355834961,100
3019.03,6,Keegan Rd & 2 Ave,40.64243139706092,-74.0255355834961,200
3019.03,8,Keegan Rd & 2 Ave,40.64243139706092,-74.0255355834961,300
3022.01,7,Cortelyou Rd & E 19 St,40.64269,-73.96099,200
3022.01,8,Cortelyou Rd & E 19 St,40.64269,-73.96099,500
3022.01,9,Cortelyou Rd & E 19 St,40.64269,-73.96099,600
3022.01,10,Cortelyou Rd & E 19 St,40.64269,-73.96099,200
3022.01,11,Cortelyou Rd & E 19 St,40.64269,-73.96099,300
3022.01,12,Cortelyou Rd & E 19 St,40.64269,-73.96099,900
3034.02,7,Matthews Ct & Coney Island Ave,40.64235,-73.96951,200
3034.02,8,Matthews Ct & Coney Island Ave,40.64235,-73.96951,200
3034.02,9,Matthews Ct & Coney Island Ave,40.64235,-73.96951,200
3034.02,10,Matthews Ct & Coney Island Ave,40.64235,-73.96951,300
3034.02,11,Matthews Ct & Coney Island Ave,40.64235,-73.96951,200
3034.02,12,Matthews Ct & Coney Island Ave,40.64235,-73.96951,400
3038.08,1,50 St & 7 Ave,40.642501,-74.006055,100
3038.08,2,50 St & 7 Ave,40.642501,-74.006055,300
3038.08,3,50 St & 7 Ave,40.642501,-74.006055,100
3038.08,4,50 St & 7 Ave,40.642501,-74.006055,400
3038.08,5,50 St & 7 Ave,40.642501,-74.006055,100
3038.08,7,50 St & 7 Ave,40.642501,-74.006055,700
3038.08,8,50 St & 7 Ave,40.642501,-74.006055,300
3038.08,9,50 St & 7 Ave,40.642501,-74.006055,300
3038.08,10,50 St & 7 Ave,40.642501,-74.006055,700
3038.08,11,50 St & 7 Ave,40.642501,-74.006055,300
3038.08,12,50 St & 7 Ave,40.642501,-74.006055,300
3046.03,1,E 3 St & Church Ave,40.643817,-73.977433,100
3046.03,2,E 3 St & Church Ave,40.643817,-73.977433,100
3046.03,3,E 3 St & Church Ave,40.643817,-73.977433,100
3046.03,4,E 3 St & Church Ave,40.643817,-73.977433,300
3046.03,5,E 3 St & Church Ave,40.643817,-73.977433,400
3046.03,6,E 3 St & Church Ave,40.643817,-73.977433,400
3046.03,7,E 3 St & Church Ave,40.643817,-73.977433,100
3046.03,8,E 3 St & Church Ave,40.643817,-73.977433,300
3046.03,9,E 3 St & Church Ave,40.643817,-73.977433,100
3046.03,10,E 3 St & Church Ave,40.643817,-73.977433,600
3046.03,11,E 3 St & Church Ave,40.643817,-73.977433,200
3046.03,12,E 3 St & Church Ave,40.643817,-73.977433,500
3050.03,1,55 St & 5 Ave,40.642408,-74.013318,200
3050.03,2,55 St & 5 Ave,40.642408,-74.013318,100
3050.03,4,55 St & 5 Ave,40.642408,-74.013318,200
3050.03,5,55 St & 5 Ave,40.642408,-74.013318,300
3050.03,6,55 St & 5 Ave,40.642408,-74.013318,200
3050.03,7,55 St & 5 Ave,40.642408,-74.013318,300
3050.03,8,55 St & 5 Ave,40.642408,-74.013318,100
3050.03,9,55 St & 5 Ave,40.642408,-74.013318,200
3050.03,10,55 St & 5 Ave,40.642408,-74.013318,100
3050.03,11,55 St & 5 Ave,40.642408,-74.013318,600
3050.03,12,55 St & 5 Ave,40.642408,-74.013318,100
3056.05,1,12 Ave & 36 St,40.643546,-73.986418,300
3056.05,2,12 Ave & 36 St,40.643546,-73.986418,400
